com.samsung.shealth.tracker.pedometer_day_summary,6
step_count,update_time,create_time,distance,calorie
952,2024-03-12 19:17:02.459,2024-03-12 17:00:33.648,809.02997,40.01
952,2024-03-12 21:58:09.618,2024-03-12 21:58:09.618,809.02997,40.01
15071,2024-03-13 20:29:14.071,2024-03-13 05:46:03.379,12408.31,555.39996
15071,2024-03-13 21:00:02.037,2024-03-13 21:00:02.037,12408.31,555.39996
568,2024-03-14 16:53:58.380,2024-03-14 05:53:10.177,444.90005,19.479996
568,2024-03-14 21:00:05.794,2024-03-14 21:00:05.794,444.90005,19.479996
20450,2024-03-15 18:01:56.239,2024-03-15 04:42:01.389,16419.78,672.24994
20450,2024-03-15 21:00:02.625,2024-03-15 21:00:02.625,16419.78,672.24994
326,2024-03-16 20:47:34.268,2024-03-16 07:06:29.129,261.32,12.0199995
326,2024-03-16 21:00:03.946,2024-03-16 21:00:03.946,261.32,12.0199995
950,2024-03-17 17:39:14.135,2024-03-17 03:19:03.881,747.05005,33.529995
950,2024-03-17 21:00:15.064,2024-03-17 21:00:15.064,747.05005,33.529995
25254,2024-03-18 19:31:24.896,2024-03-18 03:57:14.810,20169.73,852.44995
25254,2024-03-18 22:35:07.828,2024-03-18 22:35:07.828,20169.73,852.44995
5739,2024-03-19 15:56:48.469,2024-03-19 02:44:02.019,4713.92,199.36
5739,2024-03-19 21:00:10.448,2024-03-19 21:00:10.448,4713.92,199.36
13485,2024-03-20 19:53:36.988,2024-03-20 03:13:01.795,10778.9,428.63995
13485,2024-03-20 21:00:07.181,2024-03-20 21:00:07.181,10778.9,428.63995
24182,2024-03-21 19:48:37.730,2024-03-21 04:15:02.297,20102.172,845.35
24182,2024-03-21 21:00:05.263,2024-03-21 21:00:05.263,20102.172,845.35
13408,2024-03-22 21:15:16.589,2024-03-21 23:05:58.155,10682.99,435.75998
16827,2024-03-23 20:22:48.830,2024-03-22 21:15:03.784,13957.052,618.7299
13408,2024-03-22 21:15:04.225,2024-03-22 21:15:04.225,10682.99,435.75998
16827,2024-03-24 04:32:27.290,2024-03-22 21:15:04.234,13957.052,618.7299
316,2024-03-24 14:32:20.630,2024-03-24 06:21:50.078,249.92,10.969997
316,2024-03-24 21:00:07.028,2024-03-24 21:00:07.028,249.92,10.969997
1658,2024-03-25 14:54:30.979,2024-03-24 22:30:11.564,1322.9601,60.80999
1658,2024-03-25 21:00:04.682,2024-03-25 21:00:04.682,1322.9601,60.80999
338,2024-03-26 19:42:46.407,2024-03-25 21:32:09.635,262.42,12.139998
338,2024-03-26 21:07:01.072,2024-03-26 21:07:01.072,262.42,12.139998
7126,2024-03-27 17:07:32.176,2024-03-27 04:31:04.695,5667.5,224.34
7126,2024-03-27 21:00:03.895,2024-03-27 21:00:03.895,5667.5,224.34
16258,2024-03-28 18:01:06.676,2024-03-28 02:10:54.076,13043.689,558.75
16258,2024-03-28 21:00:04.827,2024-03-28 21:00:04.827,13043.689,558.75
5505,2024-03-29 19:50:09.126,2024-03-29 00:04:29.177,4337.05,175.60999
5505,2024-03-29 21:00:47.770,2024-03-29 21:00:47.770,4337.05,175.60999
82,2024-03-30 18:43:05.201,2024-03-30 06:29:40.444,70.06,3.54
82,2024-03-30 21:24:13.803,2024-03-30 21:24:13.803,70.06,3.54
946,2024-03-31 19:50:23.662,2024-03-30 23:43:25.282,776.91003,35.82
946,2024-03-31 21:18:30.371,2024-03-31 21:18:30.371,776.91003,35.82
5913,2024-04-01 18:19:40.939,2024-04-01 04:49:21.227,4822.19,195.81999
5913,2024-04-01 22:23:35.564,2024-04-01 22:23:35.564,4822.19,195.81999
16965,2024-04-02 18:28:17.355,2024-04-02 05:39:33.547,14051.6,588.94995
16965,2024-04-02 21:00:05.889,2024-04-02 21:00:05.889,14051.6,588.94995
1588,2024-04-03 20:11:18.070,2024-04-02 22:32:04.037,1231.66,50.84
1588,2024-04-03 21:57:51.989,2024-04-03 21:57:51.989,1231.66,50.84
5739,2024-04-04 21:00:05.829,2024-04-04 08:59:06.376,4452.92,190.63997
5739,2024-04-04 21:00:04.235,2024-04-04 21:00:04.235,4452.92,190.63997
597,2024-04-05 20:40:16.164,2024-04-04 22:15:02.156,484.86002,22.779999
597,2024-04-05 21:13:47.458,2024-04-05 21:13:47.458,484.86002,22.779999
2242,2024-04-06 21:00:05.084,2024-04-06 00:05:27.572,1758.69,79.76999
2242,2024-04-06 21:00:03.676,2024-04-06 21:00:03.676,1758.69,79.76999
346,2024-04-07 20:27:58.752,2024-04-06 22:15:31.980,269.09,11.7
346,2024-04-07 21:30:33.093,2024-04-07 21:30:33.093,269.09,11.7
864,2024-04-08 19:35:15.128,2024-04-08 06:17:42.633,682.91,31.06
864,2024-04-08 22:45:05.276,2024-04-08 22:45:05.276,682.91,31.06
15110,2024-04-09 17:40:05.400,2024-04-09 05:55:01.625,12152.58,508.46
15110,2024-04-09 22:48:13.979,2024-04-09 22:48:13.979,12152.58,508.46
462,2024-04-10 20:27:33.767,2024-04-10 00:48:31.792,358.64,16.289999
462,2024-04-10 21:30:06.746,2024-04-10 21:30:06.746,358.64,16.289999
566,2024-04-11 21:00:09.378,2024-04-11 04:27:13.459,451.51,20.49
566,2024-04-11 21:00:07.101,2024-04-11 21:00:07.101,451.51,20.49
13611,2024-04-12 12:40:41.518,2024-04-11 21:10:47.578,10977.78,448.83997
13611,2024-04-13 00:41:46.092,2024-04-13 00:41:46.092,10977.78,448.83997
6256,2024-04-13 20:06:10.392,2024-04-13 05:11:04.097,4946.4,200.55998
6256,2024-04-13 21:00:04.216,2024-04-13 21:00:04.216,4946.4,200.55998
13657,2024-04-14 21:07:07.656,2024-04-14 03:45:57.903,11032.7,441.97995
14728,2024-04-15 20:44:11.529,2024-04-14 21:06:52.010,11809.43,499.09998
14728,2024-04-15 21:00:04.105,2024-04-14 21:06:59.458,11809.43,499.09998
13657,2024-04-14 21:06:59.752,2024-04-14 21:06:59.752,11032.7,441.97995
23294,2024-04-16 16:28:44.700,2024-04-16 03:30:24.764,19091.8,830.14996
23294,2024-04-16 21:01:09.225,2024-04-16 21:01:09.225,19091.8,830.14996
666,2024-04-17 20:35:14.937,2024-04-16 21:05:18.029,523.29004,24.919998
5849,2024-04-18 20:55:15.784,2024-04-17 21:10:43.814,4520.3,198.54999
5849,2024-04-18 21:50:30.976,2024-04-17 21:10:46.517,4520.3,198.54999
666,2024-04-17 21:10:46.656,2024-04-17 21:10:46.656,523.29004,24.919998
69,2024-04-19 14:46:49.305,2024-04-19 10:51:42.122,53.760006,2.3999996
69,2024-04-19 21:00:09.488,2024-04-19 21:00:09.488,53.760006,2.3999996
1400,2024-04-21 21:00:04.704,2024-04-19 21:55:47.831,1131.89,52.86
1400,2024-04-20 21:15:03.566,2024-04-20 21:07:15.266,1131.89,52.86
6605,2024-04-21 18:31:09.606,2024-04-21 02:41:30.126,5434.34,232.01997
6605,2024-04-21 21:00:03.779,2024-04-21 21:00:03.779,5434.34,232.01997
16334,2024-04-22 18:45:51.714,2024-04-22 02:40:13.068,13083.069,560.6699
16334,2024-04-22 21:50:24.196,2024-04-22 21:50:24.196,13083.069,560.6699
796,2024-04-23 19:06:28.191,2024-04-22 22:51:50.584,619.4,27.899996
796,2024-04-23 21:00:10.143,2024-04-23 21:00:10.143,619.4,27.899996
722,2024-04-24 20:35:04.133,2024-04-24 04:10:49.321,577.56,25.729998
722,2024-04-24 21:18:03.833,2024-04-24 21:18:03.833,577.56,25.729998
1334,2024-04-25 20:32:04.481,2024-04-25 04:14:19.572,1073.9099,47.119995
1334,2024-04-25 21:00:03.401,2024-04-25 21:00:03.401,1073.9099,47.119995
1295,2024-04-26 18:10:49.681,2024-04-25 22:49:34.750,1021.76996,45.46
1295,2024-04-26 21:13:04.015,2024-04-26 21:13:04.015,1021.76996,45.46
6290,2024-04-27 17:31:21.215,2024-04-26 21:55:01.112,4872.98,217.98
6290,2024-04-27 21:00:06.602,2024-04-27 21:00:06.602,4872.98,217.98
674,2024-04-28 18:49:55.987,2024-04-27 23:35:07.037,549.46,26.289999
674,2024-04-28 21:00:03.941,2024-04-28 21:00:03.941,549.46,26.289999
433,2024-04-29 19:54:47.155,2024-04-28 21:14:21.806,355.87,15.449999
433,2024-04-29 21:58:59.872,2024-04-29 21:58:59.872,355.87,15.449999
6999,2024-04-30 19:06:20.140,2024-04-30 12:55:01.719,5475.94,225.75
6999,2024-04-30 21:47:23.368,2024-04-30 21:47:23.368,5475.94,225.75
593,2024-05-01 17:14:13.649,2024-05-01 04:23:44.491,465.41998,20.269999
593,2024-05-01 21:00:03.824,2024-05-01 21:00:03.824,465.41998,20.269999
15774,2024-05-02 17:20:14.600,2024-05-02 07:36:18.091,12681.59,497.47995
15774,2024-05-02 22:41:14.708,2024-05-02 22:41:14.708,12681.59,497.47995
15781,2024-05-03 17:38:50.645,2024-05-03 04:46:45.988,12496.08,520.92993
15781,2024-05-03 21:37:16.802,2024-05-03 21:37:16.802,12496.08,520.92993
355,2024-05-04 16:41:35.983,2024-05-04 03:39:10.089,272.71002,12.499999
355,2024-05-04 21:21:38.146,2024-05-04 21:21:38.146,272.71002,12.499999
773,2024-05-05 16:12:19.094,2024-05-04 21:37:27.497,617.69995,28.759996
773,2024-05-05 21:44:35.212,2024-05-05 21:44:35.212,617.69995,28.759996
4220,2024-05-06 20:12:04.133,2024-05-06 04:22:04.691,3315.99,146.56999
4220,2024-05-06 21:00:28.485,2024-05-06 21:00:28.485,3315.99,146.56999
351,2024-05-07 20:37:22.714,2024-05-07 07:15:52.038,273.97,12.009997
351,2024-05-07 21:00:03.226,2024-05-07 21:00:03.226,273.97,12.009997
3659,2024-05-08 13:26:39.104,2024-05-07 21:22:54.097,2922.17,117.46
3659,2024-05-08 21:12:41.594,2024-05-08 21:12:41.594,2922.17,117.46
6702,2024-05-09 19:27:36.494,2024-05-08 23:02:11.028,5255.94,213.6
6702,2024-05-09 21:28:12.878,2024-05-09 21:28:12.878,5255.94,213.6
15632,2024-05-10 20:15:01.843,2024-05-10 03:07:29.764,12652.7,520.94995
15632,2024-05-10 22:53:46.315,2024-05-10 22:53:46.315,12652.7,520.94995
183,2024-05-11 18:59:31.207,2024-05-11 01:59:48.831,140.87,6.2599983
183,2024-05-11 21:00:03.355,2024-05-11 21:00:03.355,140.87,6.2599983
551,2024-05-12 18:55:02.378,2024-05-11 21:13:09.667,437.91998,20.469997
551,2024-05-12 22:03:27.595,2024-05-12 22:03:27.595,437.91998,20.469997
5269,2024-05-13 18:45:55.822,2024-05-13 04:35:01.242,4159.15,163.15
5269,2024-05-13 21:00:05.368,2024-05-13 21:00:05.368,4159.15,163.15
12946,2024-05-14 16:29:15.697,2024-05-13 22:04:45.583,10513.6,415.40994
12946,2024-05-14 23:02:16.850,2024-05-14 23:02:16.850,10513.6,415.40994
599,2024-05-15 20:35:22.190,2024-05-15 03:24:57.488,475.74,19.69
599,2024-05-15 21:28:46.301,2024-05-15 21:28:46.301,475.74,19.69
350,2024-05-16 17:47:24.682,2024-05-16 03:43:17.140,270.79,12.03
350,2024-05-17 00:50:43.337,2024-05-17 00:50:43.337,270.79,12.03
1157,2024-05-17 21:00:04.902,2024-05-17 03:08:41.604,898.32007,40.559998
1157,2024-05-17 21:00:03.986,2024-05-17 21:00:03.986,898.32007,40.559998
970,2024-05-18 17:32:12.061,2024-05-17 21:02:58.032,773.68,35.739998
970,2024-05-18 21:44:42.641,2024-05-18 21:44:42.641,773.68,35.739998
3300,2024-05-19 20:55:04.814,2024-05-18 23:45:53.587,2835.04,129.2
3300,2024-05-19 21:06:09.195,2024-05-19 21:06:09.195,2835.04,129.2
16206,2024-05-20 21:00:05.654,2024-05-20 04:46:06.656,13250.31,546.6
16206,2024-05-20 21:00:04.539,2024-05-20 21:00:04.539,13250.31,546.6
16536,2024-05-21 17:56:12.817,2024-05-21 00:51:59.643,13377.26,585.37994
16536,2024-05-21 21:02:39.435,2024-05-21 21:02:39.435,13377.26,585.37994
281,2024-05-22 19:55:26.034,2024-05-22 02:35:07.914,219.83,9.49
281,2024-05-22 22:42:20.453,2024-05-22 22:42:20.453,219.83,9.49
16900,2024-05-23 14:13:12.474,2024-05-23 04:04:59.535,13902.182,567.19995
